"""  title""  ";" "" beschrijving"" "
"""  Gent: Sint-Margrietstraat, bouwaanvraag van Jan de Potter, 1783""  ";" "" Bouwheer: de Potter, Jan."" "
"""  Gent: Sint-Margrietstraat, bouwaanvraag van Frans Baston, 1785""  ";" "" Bouwheer: Baston, Frans."" "
"""  Gent: Sint-Margrietstraat, bouwaanvraag van Jan Baptiste de Keghel, 1776""  ";" "" Bouwheer: de Keghel, Jan Baptiste."" "
"""  Gent: Sint-Margrietstraat, bouwaanvraag van de Kleermakersnering, 1780""  ";" "" Bouwheer: Kleermakersnering."" "
"""  Gent: Sint-Margrietstraat, bouwaanvraag van Joannes Frans de Haese, 1771""  ";" "" Bouwheer: de Haese, Joannes Frans."" "
"""  Gent: Sint-Margrietstraat, bouwaanvraag van Jacques Ignatius van den Broucke, 1776""  ";" "" Bouwheer: van den Broucke, Jacques Ignatius."" "
"""  Gent: Sint-Margrietstraat, bouwaanvraag van weduwe Kerremans, 1751""  ";" "" Bouwheer: Kerremans, weduwe."" "
"""  Gent: Sint-Margrietstraat, bouwaanvraag van het Augustijnenklooster, 1760""  ";" "" Bouwheer: Augustijnenklooster."" "
"""  Gent: Sint-Margrietstraat, bouwaanvraag van het Augustijnenklooster, 1765""  ";" "" Bouwheer: Augustijnenklooster."" "
"""  Gent: Sint-Margrietstraat, bouwaanvraag van Franchois Guillaume Schellinck, 1734""  ";" "" Bouwheer: Schellinck, Franchois Guillaume."" "
"""  Gent: Sint-Margrietstraat, bouwaanvraag van David 't Kindt, 1751""  ";" "" Bouwheer: 't Kindt, David."" "
"""  Gent: Sint-Margrietstraat, bouwaanvraag van Richard Durynck, 1712""  ";" "" Bouwheer: Durynck, Richard."" "
"""  Gent: Sint-Margrietstraat, bouwaanvraag van het Augustijnenklooster, 1719""  ";" "" Bouwheer: Augustijnenklooster."" "
"""  Gent: Sint-Lievenspoortstraat, bouwaanvraag van weduwe Charles Maelcamp, 1772""  ";" "" Bouwheer: Maelcamp, Charles weduwe."" "
"""  Gent: Sint-Lievenspoortstraat, bouwaanvraag van weduwe Charles Maelcamp, 1774""  ";" "" Bouwheer: Maelcamp, Charles weduwe."" "
"""  Gent: Sint-Margrietstraat, bouwaanvraag van Jan Seth, 1707""  ";" "" Bouwheer: Seth, Jan."" "
"""  Gent: Sint-Lievenspoortstraat, bouwaanvraag van Guillielmus Crul, 1769""  ";" "" Bouwheer: Crul, Guillielmus."" "
"""  Gent: Sint-Lievenspoortstraat, bouwaanvraag van Lucas de Rudder, 1769""  ";" "" Bouwheer: de Rudder, Lucas."" "
"""  Gent: Sint-Lievenspoortstraat, bouwaanvraag van het Urbanistenklooster, 1760""  ";" "" Bouwheer: Urbanistenklooster."" "
"""  Gent: Sint-Lievenspoortstraat, bouwaanvraag van weduwe Pieter Dufour, 1762""  ";" "" Bouwheer: Dufour, Pieter weduwe."" "
"""  Gent: Sint-Lievenspoortstraat, bouwaanvraag van Jooris vande Putte, 1764""  ";" "" Bouwheer: vande Putte, Jooris."" "
"""  Gent: Sint-Lievenspoortstraat, bouwaanvraag van Charles Maelcamp, 1753""  ";" "" Bouwheer: Maelcamp, Charles."" "
"""  Gent: Sint-Lievenspoortstraat, bouwaanvraag van Franchois Heijnderijckx, 1758""  ";" "" Bouwheer: Heijnderijckx, Franchois."" "
"""  Gent: Sint-Lievenspoortstraat, bouwaanvraag van Pieter de Somer, 1744""  ";" "" Bouwheer: de Somer, Pieter."" "
"""  Gent: Sint-Lievenspoortstraat, bouwaanvraag van Jean Francois Ligny, 1749""  ";" "" Bouwheer: Ligny, Jean Francois."" "
"""  Gent: Sint-Lievenspoortstraat, bouwaanvraag van Jean Francois Ligny, 1749""  ";" "" Bouwheer: Ligny, Jean Francois."" "
